YYMMDD,TIME,LOCATION,LAT,LON,DEPTH,MAG,EVALMODE
19861226,74751,Assen,52.992,6.548,1,2.8,manual
19871214,204948,Hooghalen,52.928,6.552,1.5,2.5,manual
19891201,200916.8,Kwadijk,52.529,4.971,1.2,2.7,manual
19910215,21116.54,Emmen,52.771,6.914,3,2.2,manual
19910425,102631.58,Eleveld,52.952,6.575,3,2.6,manual
19910808,40114.22,Assen,52.965,6.573,3,2.7,manual
19911205,2455,Middelstum,53.358,6.657,3,2.4,manual
19920523,152911.43,Geelbroek,52.953,6.572,3,2.6,manual
19920524,180005.95,Assen,52.956,6.562,3,1.6,manual
19920611,170937,Roswinkel,52.831,7.032,1.5,2.7,manual
19920722,232313.2,Assen,52.961,6.57,3,2.6,manual
19921206,203432.01,Loppersum,53.32,6.74,3,1.3,manual
19921211,130050.05,Froombosch,53.21,6.747,3,1.4,manual
19930212,114600.91,Tjuchem,53.294,6.868,3,1,manual
19930305,222725.22,Langelo,53.084,6.465,3,1.5,manual
19930312,221241.52,Sappemeer,53.16,6.805,3,0.9,manual
19930326,183421.16,Overschild,53.285,6.795,3,1.1,manual
19930505,200832.79,Westerbroek,53.177,6.685,3,1.5,manual
19930514,193942,Wirdum,53.305,6.793,3,1.1,manual
19930627,20851.8,Westerwijtwerd,53.316,6.65,3,1.4,manual
19930627,25710.06,Stedum,53.315,6.66,3,1,manual
19930710,2234.51,Oosterwijtwerd,53.333,6.837,3,1.4,manual
19930727,133918.07,Oosterwijtwerd,53.336,6.808,3,0.8,manual
19930823,5121.69,Appingedam,53.332,6.848,3,0.7,manual
19930904,22450.15,'t Zandt,53.363,6.765,3,1.4,manual
19930922,173703.82,Eppenhuizen,53.368,6.675,3,2,manual
19930925,2133.46,Slochteren,53.208,6.812,3,0.9,manual
19931123,123147.68,Slochteren,53.202,6.82,3,2.2,manual
19931222,20442.79,Ten Post,53.294,6.753,3,1.6,manual
19940204,213238.91,Garrelsweer,53.306,6.777,3,1.3,manual
19940205,151005.8,Roswinkel,52.833,7.045,1.5,2.9,manual
19940228,210016.59,Garsthuizen,53.37,6.72,3,0.6,manual
19940302,103638.09,Overschild,53.279,6.807,3,1.5,manual
19940306,200231.23,Appingedam,53.323,6.805,3,1,manual
19940314,93101.18,Leermens,53.345,6.808,3,1.3,manual
19940314,104400,Zandeweer,53.39,6.68,3,1.6,manual
19940314,223209.67,Kolham,53.17,6.747,3,1.1,manual
19940324,52903.8,Farmsum,53.316,6.962,3,0.8,manual
19940404,184611.65,Overschild,53.275,6.828,3,1.3,manual
19940507,200853.67,Froombosch,53.194,6.798,3,1,manual
19940510,13411.97,Schildwolde,53.226,6.835,3,0.8,manual
19940605,21450.79,Meedhuizen,53.294,6.95,3,1,manual
19940606,40826.16,Zuidbroek,53.156,6.823,3,1,manual
19940608,222024.55,Huizinge,53.359,6.682,3,1.5,manual
19940626,174438.88,Appingedam,53.335,6.852,3,1,manual
19940627,205853.88,Roodeschool,53.423,6.77,3,1.7,manual
19940701,62742.61,Onderdendam,53.324,6.613,3,2.7,manual
19940719,81729.67,Garsthuizen,53.372,6.743,3,2,manual
19940730,91820.78,Toornwerd,53.351,6.628,1,2.7,manual
19940730,95329.68,Warffum,53.365,6.577,1,1.3,manual
19940806,180219.2,Bergen,52.654,4.711,2.5,3,manual
19940816,143739.85,Anloo,53.061,6.698,3,2.3,manual
19940907,220604.3,Warffum,53.402,6.575,3,1.4,manual
19940909,155654.38,Erica,52.714,6.915,3,1.7,manual
19940921,11258.13,Bergen,52.658,4.708,2.5,3.2,manual
19940923,195000,Schoonebeek,52.67,6.88,3,1.3,manual
19941026,214101.83,Luddeweer,53.246,6.737,3,1.2,manual
19941213,215046.58,Overschild,53.282,6.815,3,1,manual
19950124,93839.19,Delfzijl,53.316,6.897,3,1.3,manual
19950131,194755.62,Annen,53.063,6.72,3,2,manual
19950201,3132,Nieuw Annerveen,53.079,6.775,3,1.2,manual
19950321,163744.34,Eems-Dollard (nabij Eemshaven),53.438,6.913,3,1.1,manual
19950406,80343.45,Huizinge,53.36,6.68,3,2,manual
19950426,173549.64,Zuidlaren,53.084,6.668,3,0.7,manual
19950515,95239.35,Meedhuizen,53.309,6.945,3,1.8,manual
19950603,220638.2,Tolbert,53.19,6.358,3,0.9,manual
19950620,85940.12,Roswinkel,52.832,7.03,2,2.7,manual
19950715,160539.14,Slochteren,53.206,6.823,3,1,manual
19950721,232440.48,Farmsum,53.276,6.963,3,1.1,manual
19950913,213436.83,Loppersum,53.335,6.728,3,1.1,manual
19951018,3427.36,Peize,53.129,6.492,3,1.3,manual
19951102,10700.71,Westeremden,53.352,6.718,3,1.6,manual
19951104,55043.21,Uithuizermeeden,53.47,6.722,3,1.8,manual
19951120,22054.73,Garrelsweer,53.315,6.762,3,1.1,manual
19951224,132634.16,Jisp,52.511,4.847,3,2.3,manual
19951230,20408.94,Roswinkel,52.845,7.048,3,1.2,manual
19960212,140224.24,Overschild,53.256,6.767,3,0.9,manual
19960224,33107.56,Emmen,52.761,6.908,3,1.8,manual
19960225,135509.3,Roswinkel,52.838,7.062,1.5,0.9,manual
19960229,80734.42,Middelstum,53.343,6.64,3,2,manual
19960306,92050.2,Roswinkel,52.838,7.062,1.5,1.6,manual
19960312,5144.67,Nieuw Annerveen,53.064,6.79,3,1.1,manual
19960312,121348.17,Roswinkel,52.838,7.059,2,2.6,manual
19960312,183412.68,Zeegse,53.072,6.653,3,0.8,manual
19960314,222358.3,Roswinkel,52.838,7.064,2,1.1,manual
19960316,41632.77,Appingedam,53.298,6.848,3,1.4,manual
19960321,181905.48,Roswinkel,52.833,7.054,2,1.8,manual
19960401,185345.19,Amen,52.94,6.608,3,0.6,manual
19960401,232818.39,Nieuw Annerveen,53.067,6.79,3,0.1,manual
19960409,135834.43,Eexterveen,53.059,6.798,3,1.1,manual
19960415,34131.2,Ten Boer,53.289,6.688,3,0.9,manual
19960417,190512.18,Holwierde,53.357,6.883,3,0.9,manual
19960421,213602.32,Rottum,53.376,6.595,3,0.5,manual
19960425,232220.44,Holwierde,53.356,6.863,3,0.9,manual
19960607,42056.64,Annerveenschekanaal,53.085,6.78,3,1.2,manual
19960607,83407.01,Garrelsweer,53.309,6.778,3,1.3,manual
19960607,145910.82,Wildervank,53.082,6.832,3,0.7,manual
19960616,25327.88,Geelbroek,52.947,6.568,3,1.7,manual
19960703,214007.16,Eexterveen,53.053,6.803,3,0.8,manual
19960804,4217.83,Wachtum,52.724,6.738,3,1.6,manual
19960806,133827.76,Emmen,52.755,6.917,3,1.6,manual
19960809,23145.71,Schipborg,53.057,6.688,3,0.3,manual
19960809,63847.14,Farmsum,53.287,6.958,3,1.6,manual
