"","Datetime","Easting","Northing","Depth","Magnitude","Date"
"1","26/12/1986 07:47:51",232962,556708,1,2.8,"1986-12-26"
"2","14/12/1987 20:49:48",233304,549657,2,2.5,"1987-12-14"
"3","01/12/1989 20:09:17",126723,504708,1,2.7,"1989-12-01"
"4","15/02/1991 02:11:17",258035,532610,3,2.2,"1991-02-15"
"5","25/04/1991 10:26:32",234827,552339,3,2.6,"1991-04-25"
"6","08/08/1991 04:01:14",234692,553746,3,2.7,"1991-08-08"
"7","05/12/1991 00:24:55",239542,597592,3,2.4,"1991-12-05"
"8","23/05/1992 15:29:11",234602,552446,3,2.6,"1992-05-23"
"9","24/05/1992 18:00:06",233923,552806,3,1.6,"1992-05-24"
"10","11/06/1992 17:09:37",265845,539461,2,2.7,"1992-06-11"
"11","22/07/1992 23:23:13",234476,553279,3,2.55,"1992-07-22"
"12","06/12/1992 20:34:32",245147,593464,3,1.26,"1992-12-06"
"13","11/12/1992 13:00:50",245822,581250,3,1.37,"1992-12-11"
"14","12/02/1993 11:46:01",253757,590795,3,0.99,"1993-02-12"
"15","05/03/1993 22:27:25",227215,566948,3,1.54,"1993-03-05"
"16","12/03/1993 22:12:42",249830,575706,3,0.92,"1993-03-12"
"17","26/03/1993 18:34:21",248889,589620,3,1.1,"1993-03-26"
"18","05/05/1993 20:08:33",241769,577502,3,1.49,"1993-05-05"
"19","14/05/1993 19:39:42",248733,591899,3,1.05,"1993-05-14"
"20","27/06/1993 02:08:52",239157,592965,3,1.4,"1993-06-27"
"21","27/06/1993 02:57:10",239827,592773,3,0.99,"1993-06-27"
"22","10/07/1993 00:22:35",251559,595055,3,1.43,"1993-07-10"
"23","27/07/1993 13:39:18",249666,595295,3,0.77,"1993-07-27"
"24","23/08/1993 00:51:22",252338,594977,3,0.68,"1993-08-23"
"25","04/09/1993 02:24:50",246722,598244,3,1.35,"1993-09-04"
"26","22/09/1993 17:37:04",240721,598689,3,2.01,"1993-09-22"
"27","25/09/1993 00:21:33",250170,581056,3,0.89,"1993-09-25"
"28","23/11/1993 12:31:48",250740,580381,3,2.16,"1993-11-23"
"29","22/12/1993 02:04:43",246091,590587,3,1.61,"1993-12-22"
"30","04/02/1994 21:32:39",247621,591916,3,1.3,"1994-02-04"
"31","05/02/1994 15:10:06",266716,539703,2,2.88,"1994-02-05"
"32","28/02/1994 21:00:17",243711,599022,3,0.61,"1994-02-28"
"33","02/03/1994 10:36:38",249679,588987,3,1.53,"1994-03-02"
"34","06/03/1994 20:02:31",249471,593900,3,0.99,"1994-03-06"
"35","14/03/1994 09:31:01",249645,596333,3,1.34,"1994-03-14"
"36","14/03/1994 10:44:00",241009,601180,3,1.6,"1994-03-14"
"37","14/03/1994 22:32:10",245906,576817,3,1.11,"1994-03-14"
"38","24/03/1994 05:29:04",259927,593319,3,0.77,"1994-03-24"
"39","04/04/1994 18:46:12",251134,588515,3,1.25,"1994-04-04"
"40","07/05/1994 20:08:54",249309,579499,3,0.95,"1994-05-07"
"41","10/05/1994 01:34:12",251687,583146,3,0.76,"1994-05-10"
"42","05/06/1994 02:14:51",259201,590910,3,1.01,"1994-06-05"
"43","06/06/1994 04:08:26",251063,575341,3,1.03,"1994-06-06"
"44","08/06/1994 22:20:25",241182,597751,3,1.45,"1994-06-08"
"45","26/06/1994 17:44:39",252553,595297,3,0.97,"1994-06-26"
"46","27/06/1994 20:58:54",246925,605019,3,1.74,"1994-06-27"
"47","01/07/1994 06:27:43",236699,593777,3,2.73,"1994-07-01"
"48","19/07/1994 08:17:30",245260,599291,3,2,"1994-07-19"
"49","30/07/1994 09:18:21",237648,596743,1,2.72,"1994-07-30"
"50","30/07/1994 09:53:30",234181,598260,1,1.27,"1994-07-30"
"51","06/08/1994 18:02:19",109245,518746,2,3,"1994-08-06"
