"","X","Datetime","Easting","Northing","Depth","Magnitude","Date","V","Year"
"1",12,"06/12/1992 20:34:32",245147,593464,3,1.26,"1992-12-06",27.9602500415218,1992
"2",13,"11/12/1992 13:00:50",245822,581250,3,1.37,"1992-12-11",24.9128178674128,1992
"3",14,"12/02/1993 11:46:01",253757,590795,3,0.99,"1993-02-12",19.0349132403667,1993
"4",16,"12/03/1993 22:12:42",249830,575706,3,0.92,"1993-03-12",21.8613788372976,1993
"5",17,"26/03/1993 18:34:21",248889,589620,3,1.1,"1993-03-26",23.0703052094545,1993
"6",18,"05/05/1993 20:08:33",241769,577502,3,1.49,"1993-05-05",29.3209916844125,1993
"7",19,"14/05/1993 19:39:42",248733,591899,3,1.05,"1993-05-14",24.0476807434904,1993
"8",20,"27/06/1993 02:08:52",239157,592965,3,1.4,"1993-06-27",33.3611101472101,1993
"9",21,"27/06/1993 02:57:10",239827,592773,3,0.99,"1993-06-27",32.6650636587618,1993
"10",22,"10/07/1993 00:22:35",251559,595055,3,1.43,"1993-07-10",23.097122851869,1993
"11",23,"27/07/1993 13:39:18",249666,595295,3,0.77,"1993-07-27",24.8162687526737,1993
"12",24,"23/08/1993 00:51:22",252338,594977,3,0.68,"1993-08-23",22.4104309904212,1993
"13",25,"04/09/1993 02:24:50",246722,598244,3,1.35,"1993-09-04",28.8905479834109,1993
"14",26,"22/09/1993 17:37:04",240721,598689,3,2.01,"1993-09-22",34.2519601940992,1993
"15",27,"25/09/1993 00:21:33",250170,581056,3,0.89,"1993-09-25",20.5777519972352,1993
"16",28,"23/11/1993 12:31:48",250740,580381,3,2.16,"1993-11-23",20.0570099916372,1993
"17",29,"22/12/1993 02:04:43",246091,590587,3,1.61,"1993-12-22",26.0306784772553,1993
"18",30,"04/02/1994 21:32:39",247621,591916,3,1.3,"1994-02-04",25.0749773643137,1994
"19",32,"28/02/1994 21:00:17",243711,599022,3,0.61,"1994-02-28",31.8414018203968,1994
"20",33,"02/03/1994 10:36:38",249679,588987,3,1.53,"1994-03-02",22.1206550034394,1994
"21",34,"06/03/1994 20:02:31",249471,593900,3,0.99,"1994-03-06",24.2772023992071,1994
"22",35,"14/03/1994 09:31:01",249645,596333,3,1.34,"1994-03-14",25.3985591675994,1994
"23",36,"14/03/1994 10:44:00",241009,601180,3,1.6,"1994-03-14",35.2785493968307,1994
"24",37,"14/03/1994 22:32:10",245906,576817,3,1.11,"1994-03-14",25.3801679643367,1994
