"","X","Y","Start_date","End_date"
"1",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"2",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"3",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"4",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"5",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"6",255490.9024,582919.2229,"2015-09-22","2599-12-31"
"7",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"8",257568.1765,587595.918,"2015-12-07","2599-12-31"
"9",241971.4148,592531.203,"2019-12-05","2599-12-31"
"10",256506.0921,594963.1148,"2015-09-15","2599-12-31"
"11",250660.2176,593719.6573,"2015-10-29","2599-12-31"
"12",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"13",234561.2513,585463.3871,"2015-11-27","2599-12-31"
"14",263981.0995,591204.5951,"2015-11-27","2599-12-31"
"15",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"16",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"17",238898.8933,597051.5785,"2019-12-05","2599-12-31"
"18",255450.3924,595371.375,"2015-05-28","2599-12-31"
"19",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"20",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"21",248207.606,590399.6553,"2014-09-17","2599-12-31"
"22",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"23",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"24",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"25",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"26",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"27",248207.606,590399.6553,"2014-09-17","2599-12-31"
"28",243090.9595,596143.8737,"2013-04-24","2599-12-31"
"29",244524.3302,588132.1396,"2016-03-28","2599-12-31"
"30",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"31",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"32",243906.0488,594623.1669,"2015-09-18","2599-12-31"
"33",244284.9563,582900.2906,"2014-10-24","2599-12-31"
"34",247034.6653,580089.6325,"2014-10-23","2599-12-31"
"35",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"36",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"37",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"38",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"39",241009.9847,592313.4984,"2015-02-10","2599-12-31"
"40",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"41",247119.2125,597798.5977,"2015-02-11","2599-12-31"
"42",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"43",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"44",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"45",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"46",248207.606,590399.6553,"2014-09-17","2599-12-31"
"47",257568.1765,587595.918,"2015-12-07","2599-12-31"
"48",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"49",256506.0921,594963.1148,"2015-09-15","2599-12-31"
"50",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"51",250660.2176,593719.6573,"2015-10-29","2599-12-31"
"52",243906.0488,594623.1669,"2015-09-18","2599-12-31"
"53",257568.1765,587595.918,"2015-12-07","2599-12-31"
"54",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"55",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"56",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"57",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"58",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"59",248207.606,590399.6553,"2014-09-17","2599-12-31"
