"","Network","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year","Start_date","End_date"
"1","NL","HGN","ACE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2014,2599,"2014-10-29","2599-12-31"
"2","NL","HGN","BHE",50.764,5.9317,"1993-11-03T00:00:00","2003-10-24T00:00:00",193418.3014,308371.3776,"E",1993,2003,"1993-11-03","2003-10-24"
"3","NL","HGN","LCE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2014,2599,"2014-10-29","2599-12-31"
"4","NL","HGN","BHE",50.764,5.9317,"2003-02-04T00:00:00","2003-10-24T23:59:59",193418.3014,308371.3776,"E",2003,2003,"2003-02-04","2003-10-24"
"5","NL","HGN","BHE",50.764,5.9317,"2003-10-24T00:00:00","2009-04-27T23:59:59",193418.3014,308371.3776,"E",2003,2009,"2003-10-24","2009-04-27"
"6","NL","HGN","BHE",50.764,5.9317,"2009-04-27T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2009,2599,"2009-04-27","2599-12-31"
"7","NL","HGN","HHE",50.764,5.9317,"2009-10-23T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2009,2599,"2009-10-23","2599-12-31"
"8","NL","HGN","LCE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2014,2599,"2014-10-29","2599-12-31"
"9","NL","HGN","LHE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2014,2599,"2014-10-29","2599-12-31"
"10","NL","HGN","UHE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2014,2599,"2014-10-29","2599-12-31"
"11","NL","HGN","VHE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2014,2599,"2014-10-29","2599-12-31"
