"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"1",2,"NL","HGN","ACE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2014","2599"
"2",3,"NL","HGN","BHE",50.764,5.9317,"1993-11-03T00:00:00","2003-10-24T00:00:00",193418.3014,308371.3776,"E","1993","2003"
"3",6,"NL","HGN","LCE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2014","2599"
"4",19,"NL","HGN","BHE",50.764,5.9317,"2003-02-04T00:00:00","2003-10-24T23:59:59",193418.3014,308371.3776,"E","2003","2003"
"5",22,"NL","HGN","BHE",50.764,5.9317,"2003-10-24T00:00:00","2009-04-27T23:59:59",193418.3014,308371.3776,"E","2003","2009"
"6",29,"NL","HGN","BHE",50.764,5.9317,"2009-04-27T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2009","2599"
"7",32,"NL","HGN","HHE",50.764,5.9317,"2009-10-23T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2009","2599"
"8",35,"NL","HGN","LCE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2014","2599"
"9",37,"NL","HGN","LHE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2014","2599"
"10",40,"NL","HGN","UHE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2014","2599"
"11",48,"NL","HGN","VHE",50.764,5.9317,"2014-10-29T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2014","2599"
"12",57,"NL","171","BLE",51.03544,5.86908,"2006-01-27T00:00:00","2011-11-25T00:00:00",188801.1584,338537.6149,"E","2006","2011"
"13",60,"NL","1979","BHE",50.9708,5.9268,"2009-03-10T00:00:00","2014-11-28T00:00:00",192902.9178,331374.8651,"E","2009","2014"
"14",63,"NL","1980","BHE",50.8,5.9727,"2009-03-10T00:00:00","2015-04-17T00:00:00",196279.0636,312398.6162,"E","2009","2015"
"15",66,"NL","1982","BHE",50.86939,6.08469,"2007-12-10T00:00:00","2015-04-17T00:00:00",204100.8776,320187.1955,"E","2007","2015"
"16",75,"NL","ARCN","BHE",51.5013,6.1942,"2018-05-23T00:00:00","2599-12-31T23:59:59",211032.8538,390563.569,"E","2018","2599"
"17",84,"NL","BAPP","HGE",53.31482,6.83539,"2013-10-07T00:00:00","2599-12-31T23:59:59",251514.8103,593010.9562,"E","2013","2599"
"18",87,"NL","BBER","HGE",52.661427,4.7045,"2017-12-04T00:00:00","2019-05-21T00:00:00",108811.0289,519546.8165,"E","2017","2019"
"19",96,"NL","BFB2","HGE",53.18751,6.76549,"2014-09-17T00:00:00","2599-12-31T23:59:59",247127.8894,578752.8488,"E","2014","2599"
"20",99,"NL","BGAR","HGE",53.36786,6.71359,"2014-09-17T00:00:00","2017-01-01T00:00:00",243289.2751,598756.8534,"E","2014","2017"
"21",100,"NL","BGAR","HGE",53.36786,6.71359,"2017-01-01T00:00:00","2017-12-15T09:01:00",243289.2751,598756.8534,"E","2017","2017"
"22",101,"NL","BGAR","HGE",53.36786,6.71359,"2017-12-15T09:01:00","2599-12-31T23:59:59",243289.2751,598756.8534,"E","2017","2599"
"23",108,"NL","BHAR","HGE",53.22916,6.70898,"2014-09-17T00:00:00","2599-12-31T23:59:59",243265.8688,583316.7192,"E","2014","2599"
"24",111,"NL","BHKS","HGE",53.29195,6.78502,"2014-09-17T00:00:00","2599-12-31T23:59:59",248207.606,590399.6553,"E","2014","2599"
"25",114,"NL","BING","BHE",50.9708,5.9268,"2014-11-27T00:00:00","2599-12-31T23:59:59",192902.9178,331374.8651,"E","2014","2599"
"26",117,"NL","BKMZ","HGE",53.290115,6.318887,"2015-12-08T00:00:00","2599-12-31T23:59:59",217129.5439,589692.5309,"E","2015","2599"
"27",123,"NL","BLOP","HGE",53.33391,6.74663,"2013-09-23T00:00:00","2599-12-31T23:59:59",245559.7438,595019.9156,"E","2013","2599"
"28",126,"NL","BMD1","HGE",53.34726,6.64225,"2013-09-11T00:00:00","2014-03-11T05:16:01",238580.9389,596379.2337,"E","2013","2014"
"29",129,"NL","BMD2","HGE",53.35325,6.6472,"2013-09-10T00:00:00","2019-12-05T14:10:00",238898.8933,597051.5785,"E","2013","2019"
"30",130,"NL","BMD2","HGE",53.35325,6.6472,"2019-12-05T14:10:00","2599-12-31T23:59:59",238898.8933,597051.5785,"E","2019","2599"
"31",135,"NL","BONL","HGE",53.40014,6.75483,"2013-09-19T00:00:00","2015-08-23T00:00:00",245965.8504,602400.4268,"E","2013","2015"
"32",138,"NL","BOWW","HGE",53.34053,6.8125,"2013-10-01T00:00:00","2599-12-31T23:59:59",249932.7742,595841.4772,"E","2013","2599"
"33",141,"NL","BSTD","HGE",53.312297,6.692137,"2014-09-17T00:00:00","2015-06-11T00:00:00",241973.5175,592547.6047,"E","2014","2015"
"34",142,"NL","BSTD","HGE",53.312297,6.692137,"2015-06-11T00:00:00","2015-10-07T12:25:00",241973.5175,592547.6047,"E","2015","2015"
"35",143,"NL","BSTD","HGE",53.312297,6.692137,"2015-10-07T12:25:00","2015-10-23T11:03:00",241973.5175,592547.6047,"E","2015","2015"
"36",144,"NL","BSTD","HGE",53.312297,6.692137,"2015-10-23T11:03:00","2019-12-05T13:00:00",241973.5175,592547.6047,"E","2015","2019"
"37",153,"NL","BSTD","HGE",53.31215,6.692101,"2019-12-05T13:00:00","2599-12-31T23:59:59",241971.4148,592531.203,"E","2019","2599"
"38",156,"NL","BUHZ","HGE",53.40704,6.67266,"2013-10-07T00:00:00","2019-12-06T00:00:00",240487.1077,603067.5024,"E","2013","2019"
"39",159,"NL","BWIN","HGE",53.3112,6.74837,"2014-09-17T00:00:00","2019-12-07T00:00:00",245723.4446,592494.9436,"E","2014","2019"
"40",162,"NL","BWIR","HGE",53.32257,6.7861,"2013-09-24T00:00:00","2599-12-31T23:59:59",248213.3896,593808.3977,"E","2013","2599"
"41",165,"NL","BWSE","HGE",53.34442,6.70989,"2013-04-24T00:00:00","2599-12-31T23:59:59",243090.9595,596143.8737,"E","2013","2599"
"42",168,"NL","BZN1","HGE",53.36567,6.77512,"2013-10-24T00:00:00","2017-01-01T00:00:00",247389.306,598590.4013,"E","2013","2017"
"43",169,"NL","BZN1","HGE",53.36567,6.77512,"2017-01-01T00:00:00","2017-12-15T09:03:00",247389.306,598590.4013,"E","2017","2017"
"44",170,"NL","BZN1","HGE",53.36567,6.77512,"2017-12-15T09:03:00","2019-03-02T00:00:00",247389.306,598590.4013,"E","2017","2019"
"45",177,"NL","BZN2","HGE",53.35683,6.75474,"2013-09-23T00:00:00","2020-06-01T00:00:00",246051.4828,597580.6998,"E","2013","2020"
"46",180,"NL","CHA1","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"47",183,"NL","CHA2","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"48",186,"NL","CHA3","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"49",189,"NL","CHA4","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"50",192,"NL","CHA5","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"51",230,"NL","DBN","BHE",52.1017,5.1767,"1997-11-25T00:00:00","2018-06-30T23:59:00",140577.1344,457071.562,"E","1997","2018"
