,X.Network,Station,Location,Channel,Latitude,Longitude,Elevation,Depth,Azimuth,Dip,SensorDescription,Scale,ScaleFreq,ScaleUnits,SampleRate,StartTime,EndTime,End_date
13,NL,ALK1,NA,HG1,52.633821,4.744356,1,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-11-19T00:00:00,2599-12-31T23:59:59,31/12/2599
14,NL,ALK1,NA,HG2,52.633821,4.744356,1,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-11-19T00:00:00,2599-12-31T23:59:59,31/12/2599
15,NL,ALK1,NA,HGZ,52.633821,4.744356,1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-11-19T00:00:00,2599-12-31T23:59:59,31/12/2599
16,NL,ALK2,NA,HG1,52.65104,4.723407,-1,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-07-24T00:00:00,2599-12-31T23:59:59,31/12/2599
17,NL,ALK2,NA,HG2,52.65104,4.723407,-1,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-07-24T00:00:00,2599-12-31T23:59:59,31/12/2599
18,NL,ALK2,NA,HGZ,52.65104,4.723407,-1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-07-24T00:00:00,2599-12-31T23:59:59,31/12/2599
19,NL,ARCN,NA,BHE,51.5013,6.1942,0,0,90,0,CMG3ES,6.86E+08,1,M/S,40,2018-05-23T00:00:00,2599-12-31T23:59:59,31/12/2599
20,NL,ARCN,NA,BHN,51.5013,6.1942,0,0,0,0,CMG3ES,6.80E+08,1,M/S,40,2018-05-23T00:00:00,2599-12-31T23:59:59,31/12/2599
21,NL,ARCN,NA,BHZ,51.5013,6.1942,0,0,0,-90,CMG3ES,6.89E+08,1,M/S,40,2018-05-23T00:00:00,2599-12-31T23:59:59,31/12/2599
22,NL,ASS1,NA,HG1,52.977799,6.557414,9.5,0,0,0,EpiS,427819.209,1,M/S**2,200,2020-04-14T00:00:00,2599-12-31T23:59:59,31/12/2599
23,NL,ASS1,NA,HG2,52.977799,6.557414,9.5,0,90,0,EpiS,427819.209,1,M/S**2,200,2020-04-14T00:00:00,2599-12-31T23:59:59,31/12/2599
24,NL,ASS1,NA,HGZ,52.977799,6.557414,9.5,0,0,-90,EpiS,427819.209,1,M/S**2,200,2020-04-14T00:00:00,2599-12-31T23:59:59,31/12/2599
25,NL,ASS2,NA,HG1,53.01428,6.570557,12,0,0,0,EpiS,427819.209,1,M/S**2,200,2020-04-24T00:00:00,2599-12-31T23:59:59,31/12/2599
26,NL,ASS2,NA,HG2,53.01428,6.570557,12,0,90,0,EpiS,427819.209,1,M/S**2,200,2020-04-24T00:00:00,2599-12-31T23:59:59,31/12/2599
27,NL,ASS2,NA,HGZ,53.01428,6.570557,12,0,0,-90,EpiS,427819.209,1,M/S**2,200,2020-04-24T00:00:00,2599-12-31T23:59:59,31/12/2599
28,NL,BAPP,NA,HGE,53.31482,6.83539,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,2013-10-07T00:00:00,2599-12-31T23:59:59,31/12/2599
29,NL,BAPP,NA,HGN,53.31482,6.83539,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,2013-10-07T00:00:00,2599-12-31T23:59:59,31/12/2599
30,NL,BAPP,NA,HGZ,53.31482,6.83539,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2013-10-07T00:00:00,2599-12-31T23:59:59,31/12/2599
34,NL,BER1,NA,HG1,52.661396,4.703678,1,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-11-18T00:00:00,2599-12-31T23:59:59,31/12/2599
35,NL,BER1,NA,HG2,52.661396,4.703678,1,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-11-18T00:00:00,2599-12-31T23:59:59,31/12/2599
36,NL,BER1,NA,HGZ,52.661396,4.703678,1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-11-18T00:00:00,2599-12-31T23:59:59,31/12/2599
37,NL,BER2,NA,HG1,52.6478,4.714988,-1,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-07-25T00:00:00,2599-12-31T23:59:59,31/12/2599
38,NL,BER2,NA,HG2,52.6478,4.714988,-1,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-07-25T00:00:00,2599-12-31T23:59:59,31/12/2599
39,NL,BER2,NA,HGZ,52.6478,4.714988,-1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-07-25T00:00:00,2599-12-31T23:59:59,31/12/2599
40,NL,BFB2,NA,HGE,53.18751,6.76549,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
41,NL,BFB2,NA,HGN,53.18751,6.76549,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
42,NL,BFB2,NA,HGZ,53.18751,6.76549,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
45,NL,BGAR,NA,HGE,53.36786,6.71359,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2017-12-15T09:01:00,2599-12-31T23:59:59,31/12/2599
48,NL,BGAR,NA,HGN,53.36786,6.71359,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2017-12-15T09:01:00,2599-12-31T23:59:59,31/12/2599
51,NL,BGAR,NA,HGZ,53.36786,6.71359,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2017-12-15T09:01:00,2599-12-31T23:59:59,31/12/2599
52,NL,BHAR,NA,HGE,53.22916,6.70898,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2022-01-22T00:00:00,22/01/2022
53,NL,BHAR,NA,HGN,53.22916,6.70898,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2022-01-22T00:00:00,22/01/2022
54,NL,BHAR,NA,HGZ,53.22916,6.70898,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2022-01-22T00:00:00,22/01/2022
55,NL,BHKS,NA,HGE,53.29195,6.78502,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
56,NL,BHKS,NA,HGN,53.29195,6.78502,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
57,NL,BHKS,NA,HGZ,53.29195,6.78502,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2014-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
58,NL,BING,NA,BHE,50.9708,5.9268,80,0,90,0,STS-2,6.29E+08,1,M/S,40,2014-11-27T00:00:00,2599-12-31T23:59:59,31/12/2599
59,NL,BING,NA,BHN,50.9708,5.9268,80,0,0,0,STS-2,6.29E+08,1,M/S,40,2014-11-27T00:00:00,2599-12-31T23:59:59,31/12/2599
60,NL,BING,NA,BHZ,50.9708,5.9268,80,0,0,-90,STS-2,6.29E+08,1,M/S,40,2014-11-27T00:00:00,2599-12-31T23:59:59,31/12/2599
61,NL,BKMZ,NA,HGE,53.290115,6.318887,2,0,90,0,EpiS,213867.4766,1,M/S**2,200,2015-12-08T00:00:00,2599-12-31T23:59:59,31/12/2599
62,NL,BKMZ,NA,HGN,53.290115,6.318887,2,0,0,0,EpiS,213867.4766,1,M/S**2,200,2015-12-08T00:00:00,2599-12-31T23:59:59,31/12/2599
63,NL,BKMZ,NA,HGZ,53.290115,6.318887,2,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2015-12-08T00:00:00,2599-12-31T23:59:59,31/12/2599
64,NL,BLIJE,NA,HG1,53.360325,5.84921,1.2,0,0,0,EpiS,427819.209,1,M/S**2,200,2021-02-18T00:00:00,2599-12-31T23:59:59,31/12/2599
65,NL,BLIJE,NA,HG2,53.360325,5.84921,1.2,0,90,0,EpiS,427819.209,1,M/S**2,200,2021-02-18T00:00:00,2599-12-31T23:59:59,31/12/2599
66,NL,BLIJE,NA,HGZ,53.360325,5.84921,1.2,0,0,-90,EpiS,427819.209,1,M/S**2,200,2021-02-18T00:00:00,2599-12-31T23:59:59,31/12/2599
67,NL,BLOP,NA,HGE,53.33391,6.74663,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2013-09-23T00:00:00,2599-12-31T23:59:59,31/12/2599
68,NL,BLOP,NA,HGN,53.33391,6.74663,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2013-09-23T00:00:00,2599-12-31T23:59:59,31/12/2599
69,NL,BLOP,NA,HGZ,53.33391,6.74663,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2013-09-23T00:00:00,2599-12-31T23:59:59,31/12/2599
74,NL,BMD2,NA,HGE,53.35325,6.6472,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,2019-12-05T14:10:00,2599-12-31T23:59:59,31/12/2599
76,NL,BMD2,NA,HGN,53.35325,6.6472,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,2019-12-05T14:10:00,2599-12-31T23:59:59,31/12/2599
78,NL,BMD2,NA,HGZ,53.35325,6.6472,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2019-12-05T14:10:00,2599-12-31T23:59:59,31/12/2599
82,NL,BOWW,NA,HGE,53.34053,6.8125,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2013-10-01T00:00:00,2599-12-31T23:59:59,31/12/2599
83,NL,BOWW,NA,HGN,53.34053,6.8125,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2013-10-01T00:00:00,2599-12-31T23:59:59,31/12/2599
84,NL,BOWW,NA,HGZ,53.34053,6.8125,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2013-10-01T00:00:00,2599-12-31T23:59:59,31/12/2599
85,NL,BRSW,NA,HGE,52.842316,7.032279,12.5,0,90,0,EpiS,213867.4766,1,M/S**2,200,2019-02-28T00:00:00,2599-12-31T23:59:59,31/12/2599
86,NL,BRSW,NA,HGN,52.842316,7.032279,12.5,0,0,0,EpiS,213867.4766,1,M/S**2,200,2019-02-28T00:00:00,2599-12-31T23:59:59,31/12/2599
87,NL,BRSW,NA,HGZ,52.842316,7.032279,12.5,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2019-02-28T00:00:00,2599-12-31T23:59:59,31/12/2599
88,NL,BRTL,NA,HG1,53.237996,6.393218,-0.1,0,0,0,EpiS,427819.209,1,M/S**2,200,2022-05-20T00:00:00,2599-12-31T23:59:59,31/12/2599
89,NL,BRTL,NA,HG2,53.237996,6.393218,-0.1,0,90,0,EpiS,427819.209,1,M/S**2,200,2022-05-20T00:00:00,2599-12-31T23:59:59,31/12/2599
90,NL,BRTL,NA,HGZ,53.237996,6.393218,-0.1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2022-05-20T00:00:00,2599-12-31T23:59:59,31/12/2599
103,NL,BSTD,0,HGE,53.31215,6.692101,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2019-12-05T13:00:00,2599-12-31T23:59:59,31/12/2599
104,NL,BSTD,0,HGN,53.31215,6.692101,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2019-12-05T13:00:00,2599-12-31T23:59:59,31/12/2599
105,NL,BSTD,0,HGZ,53.31215,6.692101,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2019-12-05T13:00:00,2599-12-31T23:59:59,31/12/2599
