#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
,,,,,,,,,,,,,,,,
"#DATACENTER=IRISDMC,http://ds.iris.edu",,,,,,,,,,,,,,,,
NL,HGN,,ACE,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,,,,0,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,BHE,50.764,5.9317,135,4,90,0,STS-1,8.01E+08,1,M/S,40,1993-11-03T00:00:00,2003-10-24T00:00:00
NL,HGN,,BHN,50.764,5.9317,135,4,0,0,STS-1,8.08E+08,1,M/S,40,1993-11-03T00:00:00,2003-10-24T00:00:00
NL,HGN,,BHZ,50.764,5.9317,135,4,0,-90,STS-1,8.14E+08,1,M/S,40,1993-11-03T00:00:00,2003-10-24T00:00:00
NL,HGN,,LCE,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000000,0,S,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,LCQ,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,PERCENT,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,LOG,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,,,,0,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,OCF,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,,,,0,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VCO,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VEA,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VEC,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VEP,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VFP,50.764,5.9317,135,0,0,0,Synthetic State of Health (SOH),1,0.01,COUNTS,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VKI,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,CELSIUS,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VMU,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VMV,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,,VMW,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,0,BHE,50.764,5.9317,135,4,90,0,STS-2,6.13E+08,1,M/S,40,2003-02-04T00:00:00,2003-10-24T23:59:59
NL,HGN,0,BHN,50.764,5.9317,135,4,0,0,STS-2,6.23E+08,1,M/S,40,2003-02-04T00:00:00,2003-10-24T23:59:59
NL,HGN,0,BHZ,50.764,5.9317,135,4,0,-90,STS-2,6.11E+08,1,M/S,40,2003-02-04T00:00:00,2003-10-24T23:59:59
NL,HGN,1,BHE,50.764,5.9317,135,4,90,0,STS-1,9.37E+08,1,M/S,40,2003-10-24T00:00:00,2009-04-27T23:59:59
NL,HGN,1,BHN,50.764,5.9317,135,4,0,0,STS-1,9.61E+08,1,M/S,40,2003-10-24T00:00:00,2009-04-27T23:59:59
NL,HGN,1,BHZ,50.764,5.9317,135,4,0,-90,STS-1,9.50E+08,1,M/S,40,2003-10-24T00:00:00,2009-04-27T23:59:59
NL,HGN,2,AX0,50.764,5.9317,135,0,0,0,Quanterra 330HR Linear Phase Below 100 Composite,3.2875,0,A,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,AX1,50.764,5.9317,135,0,0,0,Quanterra 330HR Linear Phase Below 100 Composite,3.2875,0,A,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,AX2,50.764,5.9317,135,0,0,0,Quanterra 330HR Linear Phase Below 100 Composite,3.2875,0,A,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,AX3,50.764,5.9317,135,0,0,0,Quanterra 330HR Linear Phase Below 100 Composite,3.2875,0,A,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,BHE,50.764,5.9317,135,4,90,0,STS-1,3.85E+09,1,M/S,40,2009-04-27T00:00:00,2599-12-31T23:59:59
NL,HGN,2,BHN,50.764,5.9317,135,4,0,0,STS-1,3.88E+09,1,M/S,40,2009-04-27T00:00:00,2599-12-31T23:59:59
NL,HGN,2,BHZ,50.764,5.9317,135,4,0,-90,STS-1,3.91E+09,1,M/S,40,2009-04-27T00:00:00,2599-12-31T23:59:59
NL,HGN,2,HHE,50.764,5.9317,135,4,90,0,STS-1,3.85E+09,1,M/S,100,2009-10-23T00:00:00,2599-12-31T23:59:59
NL,HGN,2,HHN,50.764,5.9317,135,4,0,0,STS-1,3.88E+09,1,M/S,100,2009-10-23T00:00:00,2599-12-31T23:59:59
NL,HGN,2,HHZ,50.764,5.9317,135,4,0,-90,STS-1,3.91E+09,1,M/S,100,2009-10-23T00:00:00,2599-12-31T23:59:59
NL,HGN,2,LCE,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000000,0,S,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,LCQ,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,PERCENT,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,LHE,50.764,5.9317,135,4,90,0,STS-1,3.85E+09,1,M/S,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,LHN,50.764,5.9317,135,4,0,0,STS-1,3.88E+09,1,M/S,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,LHZ,50.764,5.9317,135,4,0,-90,STS-1,3.91E+09,1,M/S,1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,UHE,50.764,5.9317,135,4,90,0,STS-1,3.85E+09,1,M/S,0.01,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,UHN,50.764,5.9317,135,4,0,0,STS-1,3.88E+09,1,M/S,0.01,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,UHZ,50.764,5.9317,135,4,0,-90,STS-1,3.91E+09,1,M/S,0.01,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,VCO,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,VEA,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,VEC,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,VEP,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,VFP,50.764,5.9317,135,0,0,0,Synthetic State of Health (SOH),1,0.01,COUNTS,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
NL,HGN,2,VHE,50.764,5.9317,135,4,90,0,STS-1,3.85E+09,1,M/S,0.1,2014-10-29T00:00:00,2599-12-31T23:59:59
