"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"1",84,"NL","BAPP","HGE",53.31482,6.83539,"2013-10-07T00:00:00","2599-12-31T23:59:59",251514.8103,593010.9562,"E","2013","2599"
"2",96,"NL","BFB2","HGE",53.18751,6.76549,"2014-09-17T00:00:00","2599-12-31T23:59:59",247127.8894,578752.8488,"E","2014","2599"
"3",99,"NL","BGAR","HGE",53.36786,6.71359,"2014-09-17T00:00:00","2017-01-01T00:00:00",243289.2751,598756.8534,"E","2014","2017"
"4",100,"NL","BGAR","HGE",53.36786,6.71359,"2017-01-01T00:00:00","2017-12-15T09:01:00",243289.2751,598756.8534,"E","2017","2017"
"5",101,"NL","BGAR","HGE",53.36786,6.71359,"2017-12-15T09:01:00","2599-12-31T23:59:59",243289.2751,598756.8534,"E","2017","2599"
"6",108,"NL","BHAR","HGE",53.22916,6.70898,"2014-09-17T00:00:00","2599-12-31T23:59:59",243265.8688,583316.7192,"E","2014","2599"
"7",111,"NL","BHKS","HGE",53.29195,6.78502,"2014-09-17T00:00:00","2599-12-31T23:59:59",248207.606,590399.6553,"E","2014","2599"
"8",123,"NL","BLOP","HGE",53.33391,6.74663,"2013-09-23T00:00:00","2599-12-31T23:59:59",245559.7438,595019.9156,"E","2013","2599"
"9",126,"NL","BMD1","HGE",53.34726,6.64225,"2013-09-11T00:00:00","2014-03-11T05:16:01",238580.9389,596379.2337,"E","2013","2014"
"10",129,"NL","BMD2","HGE",53.35325,6.6472,"2013-09-10T00:00:00","2019-12-05T14:10:00",238898.8933,597051.5785,"E","2013","2019"
"11",130,"NL","BMD2","HGE",53.35325,6.6472,"2019-12-05T14:10:00","2599-12-31T23:59:59",238898.8933,597051.5785,"E","2019","2599"
"12",135,"NL","BONL","HGE",53.40014,6.75483,"2013-09-19T00:00:00","2015-08-23T00:00:00",245965.8504,602400.4268,"E","2013","2015"
"13",138,"NL","BOWW","HGE",53.34053,6.8125,"2013-10-01T00:00:00","2599-12-31T23:59:59",249932.7742,595841.4772,"E","2013","2599"
"14",141,"NL","BSTD","HGE",53.312297,6.692137,"2014-09-17T00:00:00","2015-06-11T00:00:00",241973.5175,592547.6047,"E","2014","2015"
"15",142,"NL","BSTD","HGE",53.312297,6.692137,"2015-06-11T00:00:00","2015-10-07T12:25:00",241973.5175,592547.6047,"E","2015","2015"
"16",143,"NL","BSTD","HGE",53.312297,6.692137,"2015-10-07T12:25:00","2015-10-23T11:03:00",241973.5175,592547.6047,"E","2015","2015"
"17",144,"NL","BSTD","HGE",53.312297,6.692137,"2015-10-23T11:03:00","2019-12-05T13:00:00",241973.5175,592547.6047,"E","2015","2019"
