"","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"54","NL","171","BLE",51.03544,5.86908,35,0,"27/01/2006 00:00","25/11/2011 00:00",188801.1584,338537.6149,2006-01-27,2011-11-25
"55","NL","171","BLN",51.03544,5.86908,35,0,"27/01/2006 00:00","25/11/2011 00:00",188801.1584,338537.6149,2006-01-27,2011-11-25
"56","NL","171","BLZ",51.03544,5.86908,35,0,"27/01/2006 00:00","25/11/2011 00:00",188801.1584,338537.6149,2006-01-27,2011-11-25
"57","NL","1979","BHE",50.9708,5.9268,80,0,"10/03/2009 00:00","28/11/2014 00:00",192902.9179,331374.8651,2009-03-10,2014-11-28
"58","NL","1979","BHN",50.9708,5.9268,80,0,"10/03/2009 00:00","28/11/2014 00:00",192902.9179,331374.8651,2009-03-10,2014-11-28
"59","NL","1979","BHZ",50.9708,5.9268,80,0,"10/03/2009 00:00","28/11/2014 00:00",192902.9179,331374.8651,2009-03-10,2014-11-28
"60","NL","1980","BHE",50.8,5.9727,154,0,"10/03/2009 00:00","17/04/2015 00:00",196279.0636,312398.6162,2009-03-10,2015-04-17
"61","NL","1980","BHN",50.8,5.9727,154,0,"10/03/2009 00:00","17/04/2015 00:00",196279.0636,312398.6162,2009-03-10,2015-04-17
"62","NL","1980","BHZ",50.8,5.9727,154,0,"10/03/2009 00:00","17/04/2015 00:00",196279.0636,312398.6162,2009-03-10,2015-04-17
"63","NL","1982","BHE",50.86939,6.08469,145,0,"10/12/2007 00:00","17/04/2015 00:00",204100.8776,320187.1955,2007-12-10,2015-04-17
"64","NL","1982","BHN",50.86939,6.08469,145,0,"10/12/2007 00:00","17/04/2015 00:00",204100.8776,320187.1955,2007-12-10,2015-04-17
"65","NL","1982","BHZ",50.86939,6.08469,145,0,"10/12/2007 00:00","17/04/2015 00:00",204100.8776,320187.1955,2007-12-10,2015-04-17
"68","NL","ALK1","HGZ",52.633821,4.744356,1,0,"19/11/2019 00:00","31/12/2599 23:59",111480.1663,516450.4242,2019-11-19,2599-12-31
"66","NL","ALK1","HG1",52.633821,4.744356,1,0,"19/11/2019 00:00","31/12/2599 23:59",111480.1663,516450.4242,2019-11-19,2599-12-31
"67","NL","ALK1","HG2",52.633821,4.744356,1,0,"19/11/2019 00:00","31/12/2599 23:59",111480.1663,516450.4242,2019-11-19,2599-12-31
"71","NL","ALK2","HGZ",52.65104,4.723407,-1,0,"24/07/2019 00:00","31/12/2599 23:59",110079.5639,518379.1614,2019-07-24,2599-12-31
"69","NL","ALK2","HG1",52.65104,4.723407,-1,0,"24/07/2019 00:00","31/12/2599 23:59",110079.5639,518379.1614,2019-07-24,2599-12-31
"70","NL","ALK2","HG2",52.65104,4.723407,-1,0,"24/07/2019 00:00","31/12/2599 23:59",110079.5639,518379.1614,2019-07-24,2599-12-31
"74","NL","ANDK","HGZ",52.747514,5.216375,-1.8,0,"12/05/2023 00:00","31/12/2599 23:59",143464.8381,528921.6591,2023-05-12,2599-12-31
"72","NL","ANDK","HG1",52.747514,5.216375,-1.8,0,"12/05/2023 00:00","31/12/2599 23:59",143464.8381,528921.6591,2023-05-12,2599-12-31
"73","NL","ANDK","HG2",52.747514,5.216375,-1.8,0,"12/05/2023 00:00","31/12/2599 23:59",143464.8381,528921.6591,2023-05-12,2599-12-31
