"","X.Network","Station","Location","Channel","Latitude","Longitude","Elevation","Depth","Azimuth","Dip","SensorDescription","Scale","ScaleFreq","ScaleUnits","SampleRate","StartTime","EndTime","Xcoord","Ycoord"
"1","NL","HGN",NA,"ACE",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",NA,NA,"",0,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"2","NL","HGN",NA,"BHE",50.764,5.9317,135,4,90,0,"STS-1",801102000,1,"M/S",40,"03/11/1993 00:00","24/10/2003 00:00",193418.301390849,308371.377625001
"3","NL","HGN",NA,"BHN",50.764,5.9317,135,4,0,0,"STS-1",8.08e+08,1,"M/S",40,"03/11/1993 00:00","24/10/2003 00:00",193418.301390849,308371.377625001
"4","NL","HGN",NA,"BHZ",50.764,5.9317,135,4,0,-90,"STS-1",814301000,1,"M/S",40,"03/11/1993 00:00","24/10/2003 00:00",193418.301390849,308371.377625001
"5","NL","HGN",NA,"LCE",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1e+06,0,"S",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"6","NL","HGN",NA,"LCQ",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"PERCENT",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"7","NL","HGN",NA,"LOG",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",NA,NA,"",0,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"8","NL","HGN",NA,"OCF",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",NA,NA,"",0,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"9","NL","HGN",NA,"VCO",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"10","NL","HGN",NA,"VEA",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"11","NL","HGN",NA,"VEC",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"12","NL","HGN",NA,"VEP",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"13","NL","HGN",NA,"VFP",50.764,5.9317,135,0,0,0,"Synthetic State of Health (SOH)",1,0.01,"COUNTS",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"14","NL","HGN",NA,"VKI",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"CELSIUS",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"15","NL","HGN",NA,"VMU",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"16","NL","HGN",NA,"VMV",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"17","NL","HGN",NA,"VMW",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"18","NL","HGN",0,"BHE",50.764,5.9317,135,4,90,0,"STS-2",612983000,1,"M/S",40,"04/02/2003 00:00","24/10/2003 23:59",193418.301390849,308371.377625001
