,V1,V2,V3,V4,V5,V6,V7,V8
1,NL,TER,Terziet,50.7568,5.9061,150,03/06/2019,broadband
2,NL,HG,Heimansgroeve,50.764,5.9317,135,06/06/2001,broadband
3,NL,MAM,Mamelis,50.8,5.9727,154,16/04/2015,broadband
4,NL,VK,Valkenburg,50.8669,5.7847,90,01/06/2011,broadband
5,NL,ROL,Rolduc,50.8694,6.0847,145,16/04/2015,broadband
10,NL,OPL,Oploo,51.5888,5.8121,0,03/09/1998,broadband
13,NL,ZH04,Spijkenisse,51.8417,4.3626,6,05/01/2021,borehole
15,NL,ZH01,Vlaardingen,51.9137,4.2881,-2,14/12/2018,borehole
16,NL,WTS,Winterswijk,51.9663,6.7989,43,21/02/2000,broadband
17,NL,ZH06,Naaldwijk,51.9781,4.2204,1,06/04/2020,borehole
18,NL,ZH03,Delfgauw,51.9783,4.4001,-3,06/04/2020,borehole
20,NL,ZH02,Zoetermeer,52.0744,4.4884,-4,28/05/2020,borehole
21,NL,DB,De Bilt,52.1017,5.1767,3,25/11/1997,broadband
22,NL,ZH07,Den Haag,52.1037,4.2946,1,22/04/2022,borehole
23,NL,T06,Weerselo,52.3432,6.9097,2,04/02/2016,borehole
24,NL,T05,Agelo,52.3806,6.9057,2,08/12/2015,borehole
25,NL,T08,Denekamp,52.3893,6.9965,2,07/04/2016,borehole
26,NL,T03,Mander,52.4297,6.7918,2,08/12/2015,borehole
27,NL,T04,Hezingen,52.4375,6.8904,2,13/01/2016,borehole
28,NL,T02,Breklenkamp,52.4634,6.9787,2,13/01/2016,borehole
31,NL,VBG,Venebrugge,52.544,6.6693,11,28/04/1995,borehole
32,NL,NH01,Oosthuizen,52.5657,4.9965,-2,16/12/2019,borehole
35,NL,OTL,Oterleek,52.6289,4.8227,1,21/04/1995,borehole
41,NL,PPB,Philisteinsche Polder,52.6526,4.67,1,09/07/1995,borehole
51,NL,DR02,Hollandscheveld,52.7034,6.5081,11,20/06/2019,borehole
52,NL,WMH,Warmenhuizen,52.7096,4.7498,-1,21/04/1995,borehole
56,NL,L207,Nieuw-Dordrecht,52.7567,6.9738,22,06/06/2018,borehole
61,NL,DR01,Kallenkote,52.7987,6.1785,2,25/06/2018,borehole
70,NL,SL01,Anna Paulowna,52.8551,4.8683,2,12/05/2017,borehole
71,NL,FR02,Oldetrijne,52.8559,5.9304,-1,14/06/2019,borehole
75,NL,L106,Valthermond,52.8744,6.9844,10,06/07/2018,borehole
77,NL,FR04,Vinkega,52.8761,6.1187,2,04/05/2020,borehole
79,NL,ENV,Elp (Enerveen),52.8944,6.6337,17,20/06/1995,borehole
80,NL,DR03,Oude Willem,52.8976,6.3084,9,04/05/2020,borehole
83,NL,L107,Ter Wisch,52.9204,7.0953,9,02/03/2018,borehole
88,NL,VLW,Vlagtwedde,52.9682,7.0972,7,23/05/1995,borehole
90,NL,FR03,Boornzwaag,52.9815,5.7126,-1,14/06/2019,borehole
91,NL,FR06,Lange Zwaag,53.0007,6.0237,0,04/05/2020,borehole
95,NL,L411,Taarlo,53.0318,6.6312,6,02/03/2018,borehole
98,NL,FR05,Nes,53.0705,5.8685,0,04/05/2020,borehole
99,NL,HWF,Haulerwijk (Een),53.071,6.3512,7,02/06/1995,borehole
100,NL,N02,Norg,53.072,6.453,2,04/02/2016,borehole
103,NL,VDM2,Wildervank,53.0844,6.8336,2,22/04/2022,borehole
104,NL,ZLV,Zuidlaarderveen 1,53.0921,6.7533,2,12/04/1995,borehole
108,NL,G58,Veendam,53.1103,6.9071,2,30/06/2015,borehole
109,NL,N03,Steenbergen,53.111,6.4045,2,04/02/2016,borehole
110,NL,VNDM,Veendam,53.1151,6.839,2,28/05/2019,borehole
111,NL,G59,Oude Pekela,53.116,6.9877,2,04/12/2015,borehole
112,NL,N01,Lieveren,53.1185,6.4733,2,14/04/2016,borehole
114,NL,G54,Kielwinde,53.1243,6.758,2,15/09/2015,borehole
115,NL,G57,Winschoten,53.1351,7.0222,2,12/02/2015,borehole
118,NL,FR01,Warten,53.1424,5.8868,0,14/06/2019,borehole
119,NL,G55,Muntendam,53.1433,6.8461,2,12/02/2015,borehole
123,NL,G56,Meeden,53.1484,6.9309,2,12/02/2015,borehole
124,NL,G83,Meeden (broadband),53.1484,6.9309,-1,14/08/2018,broadband
127,NL,G53,Beerta,53.1674,7.0801,2,29/10/2015,borehole
128,NL,G65,Scheemda,53.1692,6.9543,2,30/11/2015,borehole
129,NL,G52,Scheemda,53.1699,6.9837,2,12/02/2015,borehole
130,NL,G51,Zuidbroek,53.1732,6.8848,2,11/02/2015,borehole
131,NL,G50,Sappemeer,53.1745,6.8093,2,28/08/2015,borehole
132,NL,G49,Kolham,53.1765,6.7306,2,23/10/2014,borehole
134,NL,G66,Haren,53.1794,6.5852,2,27/11/2015,borehole
138,NL,ZWE,Zweins,53.1885,5.6045,0,24/03/2010,borehole
139,NL,G47,Nieuw Scheemda,53.1964,6.9413,2,28/03/2016,borehole
140,NL,G48,Midwolda,53.1973,7.029,2,21/06/2016,borehole
141,NL,G46,Noordbroek,53.1978,6.8498,2,31/10/2014,borehole
142,NL,G45,Ruiten,53.1995,6.7645,2,23/10/2014,borehole
143,NL,WYN,Wijnaldum,53.1995,5.4578,0,03/03/2010,borehole
144,NL,G38,Groningen - gasunie,53.2005,6.5476,2,11/04/2016,borehole
145,NL,G44,Harkstede,53.2042,6.684,2,11/02/2015,borehole
146,NL,WDB,Woudbloem,53.2083,6.7355,-2,12/04/1995,borehole
147,NL,SUH,Surhuizum,53.2113,6.211,0,26/08/2009,borehole
148,NL,G69,Engelbert,53.2128,6.6438,2,22/10/2015,borehole
149,NL,FSW,Finsterwolde,53.2135,7.1195,1,22/07/1992,borehole
150,NL,G64,Oostwold,53.2207,7.038,2,15/09/2015,borehole
151,NL,G84,Oostwold (broadband),53.2207,7.038,0,14/08/2018,broadband
152,NL,G42,Nieuwolda,53.2217,6.9886,2,11/02/2015,borehole
153,NL,G41,Noordbroek,53.2234,6.8919,2,22/09/2015,borehole
154,NL,G40,Schildwolde,53.225,6.8099,2,24/10/2014,borehole
155,NL,G39,Woudbloemsloot,53.2252,6.7241,2,24/10/2014,borehole
156,NL,G82,Woudbloemsloot (broadband),53.2252,6.7241,-2,14/08/2018,broadband
157,NL,G43,Finsterwolde,53.2319,7.0791,2,25/06/2015,borehole
159,NL,G68,Ruicherbrug,53.2351,6.6347,2,16/09/2015,borehole
164,NL,L508,Nieuwolda,53.2402,6.9538,-2,06/07/2018,borehole
165,NL,G70,Groningen - Universiteitscomplex,53.2407,6.5379,2,28/04/2016,borehole
168,NL,GK04,Oosterzand,53.2462,6.3261,-1,11/01/2019,borehole
169,NL,G32,Groningen - Hornbach,53.2498,6.5792,2,27/11/2015,borehole
170,NL,G33,Garmerwolde,53.2499,6.6708,2,22/01/2016,borehole
171,NL,G34,Overschild,53.2525,6.7651,2,23/10/2014,borehole
172,NL,G35,Siddeburen,53.2549,6.8621,2,04/04/2017,borehole
173,NL,FDG,Firdgum,53.2562,5.5481,1,13/10/2009,borehole
174,NL,G36,Wagenborgen,53.265,6.9245,2,07/12/2015,borehole
176,NL,G28,Woltersum,53.2722,6.7292,2,28/03/2016,borehole
177,NL,G37,Woldendorp,53.274,7.035,2,02/12/2015,borehole
178,NL,G30,Meedhuizen,53.2792,6.8951,2,23/10/2014,borehole
179,NL,G29,Overschild,53.2814,6.787,2,22/09/2015,borehole
180,NL,G26,Adorp,53.2821,6.5458,2,22/10/2015,borehole
181,NL,GK03,Grijpskerk,53.2827,6.3056,1,07/06/2018,borehole
182,NL,G27,Ellerhuizen,53.2832,6.6281,2,27/11/2015,borehole
183,NL,G24,Steendam,53.29,6.8562,2,12/11/2014,borehole
185,NL,GK01,Warfstermolen,53.2906,6.2471,1,11/01/2019,borehole
188,NL,G60,Ter Munten,53.2979,7.0752,2,28/08/2015,borehole
189,NL,GK02,Lauwerzijl,53.301,6.2927,1,26/11/2018,borehole
191,NL,TK0,Appingedam,53.3061,6.8546,2,30/11/2021,broadband
192,NL,TK0,Appingedam,53.3062,6.8549,2,30/11/2021,broadband
193,NL,TK0,Appingedam,53.3067,6.8474,2,30/11/2021,broadband
195,NL,G25,Weiwerd,53.3081,6.9433,2,12/05/2017,borehole
196,NL,G23,Garrelsweer,53.3095,6.7675,2,16/02/2015,borehole
197,NL,G22,Stedum,53.3104,6.6776,2,10/02/2015,borehole
198,NL,G81,Stedum (broadband),53.3104,6.6776,0,29/08/2018,broadband
199,NL,TK0,Stedum,53.3104,6.6776,2,16/12/2019,broadband
200,NL,TK0,Appingedam,53.3116,6.8843,2,30/11/2021,broadband
202,NL,G21,Vroetende mol,53.3134,6.5937,2,17/09/2015,borehole
205,NL,G67,Appingedam,53.3213,6.8228,2,29/10/2015,borehole
208,NL,G18,Loppersum,53.3306,6.7217,2,18/09/2015,borehole
209,NL,G63,Delfzijl,53.3314,6.9109,2,15/09/2015,borehole
212,NL,G20,Biessum,53.3353,6.8952,2,28/05/2015,borehole
213,NL,G17,Middelstum,53.3362,6.6363,2,29/04/2015,borehole
214,NL,G19,Oostwijtwerd,53.3378,6.817,2,18/09/2015,borehole
215,NL,G16,Winsum,53.3385,6.5314,2,17/09/2015,borehole
219,NL,G13,Middelstum,53.3489,6.6686,2,22/09/2015,borehole
222,NL,NIW,Niawier (Wetzens),53.3548,6.043,-1,20/05/2009,borehole
223,NL,G14,t Zandt GN,53.3586,6.7708,2,11/02/2015,borehole
224,NL,TK0,'t Zandt,53.3586,6.7708,2,16/12/2019,broadband
227,NL,G11,Holwierde,53.3669,6.8891,2,08/12/2015,borehole
229,NL,G12,Warffum,53.3699,6.5714,2,05/10/2017,borehole
230,NL,G10,Godlinze,53.3785,6.8044,2,08/09/2015,borehole
231,NL,G61,Zandeweer,53.3819,6.6813,2,27/11/2015,borehole
233,NL,G62,Spijk,53.387,6.8419,2,08/09/2015,borehole
234,NL,G09,Oldenzijl,53.3878,6.7245,2,18/09/2015,borehole
235,NL,G07,Warffum,53.3946,6.5458,2,24/09/2015,borehole
236,NL,G08,Rottum,53.3954,6.6439,2,22/09/2015,borehole
237,NL,ENM,Eenrum (Westernieland),53.4064,6.4817,1,12/04/1995,borehole
238,NL,SPY,Spijk (Roodeschool),53.4098,6.7838,1,08/07/2010,borehole
239,NL,G06,Spijk - Vierhuizen,53.4111,6.8709,2,15/09/2015,borehole
240,NL,G04,Uithuizen,53.4147,6.6747,2,04/06/2015,borehole
242,NL,G03,Usquert,53.4159,6.5976,2,10/02/2015,borehole
243,NL,G05,Roodeschool,53.4184,6.7713,2,16/07/2015,borehole
244,NL,G01,Uithuizermeeden,53.4425,6.7312,2,10/02/2015,borehole
245,NL,G02,Eemshaven,53.449,6.8058,2,10/02/2015,borehole
246,,,,NA,NA,NA,,
247,,,,NA,NA,NA,,
248,,,,NA,NA,NA,,
249,,,,NA,NA,NA,,
