"","X.Network","Station","Location","Channel","Latitude","Longitude","Elevation","Depth","Azimuth","Dip","SensorDescription","Scale","ScaleFreq","ScaleUnits","SampleRate","StartTime","EndTime","End_date"
"3","NL","HGN",NA,"ACE",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",NA,NA,"",0,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"7","NL","HGN",NA,"LCE",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1e+06,0,"S",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"8","NL","HGN",NA,"LCQ",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"PERCENT",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"9","NL","HGN",NA,"LOG",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",NA,NA,"",0,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"10","NL","HGN",NA,"OCF",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",NA,NA,"",0,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"11","NL","HGN",NA,"VCO",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"12","NL","HGN",NA,"VEA",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"13","NL","HGN",NA,"VEC",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"14","NL","HGN",NA,"VEP",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"15","NL","HGN",NA,"VFP",50.764,5.9317,135,0,0,0,"Synthetic State of Health (SOH)",1,0.01,"COUNTS",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"16","NL","HGN",NA,"VKI",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"CELSIUS",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"17","NL","HGN",NA,"VMU",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"18","NL","HGN",NA,"VMV",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"19","NL","HGN",NA,"VMW",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"26","NL","HGN",2,"AX0",50.764,5.9317,135,0,0,0,"Quanterra 330HR Linear Phase Below 100 Composite",3.2875,0,"A",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"27","NL","HGN",2,"AX1",50.764,5.9317,135,0,0,0,"Quanterra 330HR Linear Phase Below 100 Composite",3.2875,0,"A",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"28","NL","HGN",2,"AX2",50.764,5.9317,135,0,0,0,"Quanterra 330HR Linear Phase Below 100 Composite",3.2875,0,"A",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"29","NL","HGN",2,"AX3",50.764,5.9317,135,0,0,0,"Quanterra 330HR Linear Phase Below 100 Composite",3.2875,0,"A",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"30","NL","HGN",2,"BHE",50.764,5.9317,135,4,90,0,"STS-1",3.85e+09,1,"M/S",40,"2009-04-27T00:00:00","2599-12-31T23:59:59","2599-12-31"
"31","NL","HGN",2,"BHN",50.764,5.9317,135,4,0,0,"STS-1",3.88e+09,1,"M/S",40,"2009-04-27T00:00:00","2599-12-31T23:59:59","2599-12-31"
"32","NL","HGN",2,"BHZ",50.764,5.9317,135,4,0,-90,"STS-1",3.91e+09,1,"M/S",40,"2009-04-27T00:00:00","2599-12-31T23:59:59","2599-12-31"
"33","NL","HGN",2,"HHE",50.764,5.9317,135,4,90,0,"STS-1",3.85e+09,1,"M/S",100,"2009-10-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"34","NL","HGN",2,"HHN",50.764,5.9317,135,4,0,0,"STS-1",3.88e+09,1,"M/S",100,"2009-10-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"35","NL","HGN",2,"HHZ",50.764,5.9317,135,4,0,-90,"STS-1",3.91e+09,1,"M/S",100,"2009-10-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"36","NL","HGN",2,"LCE",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1e+06,0,"S",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"37","NL","HGN",2,"LCQ",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"PERCENT",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"38","NL","HGN",2,"LHE",50.764,5.9317,135,4,90,0,"STS-1",3.85e+09,1,"M/S",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"39","NL","HGN",2,"LHN",50.764,5.9317,135,4,0,0,"STS-1",3.88e+09,1,"M/S",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"40","NL","HGN",2,"LHZ",50.764,5.9317,135,4,0,-90,"STS-1",3.91e+09,1,"M/S",1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"41","NL","HGN",2,"UHE",50.764,5.9317,135,4,90,0,"STS-1",3.85e+09,1,"M/S",0.01,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"42","NL","HGN",2,"UHN",50.764,5.9317,135,4,0,0,"STS-1",3.88e+09,1,"M/S",0.01,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"43","NL","HGN",2,"UHZ",50.764,5.9317,135,4,0,-90,"STS-1",3.91e+09,1,"M/S",0.01,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"44","NL","HGN",2,"VCO",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"45","NL","HGN",2,"VEA",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"46","NL","HGN",2,"VEC",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"47","NL","HGN",2,"VEP",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"48","NL","HGN",2,"VFP",50.764,5.9317,135,0,0,0,"Synthetic State of Health (SOH)",1,0.01,"COUNTS",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"49","NL","HGN",2,"VHE",50.764,5.9317,135,4,90,0,"STS-1",3.85e+09,1,"M/S",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"50","NL","HGN",2,"VHN",50.764,5.9317,135,4,0,0,"STS-1",3.88e+09,1,"M/S",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"51","NL","HGN",2,"VHZ",50.764,5.9317,135,4,0,-90,"STS-1",3.91e+09,1,"M/S",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"52","NL","HGN",2,"VKI",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"CELSIUS",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"53","NL","HGN",2,"VMU",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"54","NL","HGN",2,"VMV",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"55","NL","HGN",2,"VMW",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"2014-10-29T00:00:00","2599-12-31T23:59:59","2599-12-31"
"70","NL","ALK1",NA,"HG1",52.633821,4.744356,1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2019-11-19T00:00:00","2599-12-31T23:59:59","2599-12-31"
"71","NL","ALK1",NA,"HG2",52.633821,4.744356,1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2019-11-19T00:00:00","2599-12-31T23:59:59","2599-12-31"
"72","NL","ALK1",NA,"HGZ",52.633821,4.744356,1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2019-11-19T00:00:00","2599-12-31T23:59:59","2599-12-31"
"73","NL","ALK2",NA,"HG1",52.65104,4.723407,-1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2019-07-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"74","NL","ALK2",NA,"HG2",52.65104,4.723407,-1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2019-07-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"75","NL","ALK2",NA,"HGZ",52.65104,4.723407,-1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2019-07-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"76","NL","ARCN",NA,"BHE",51.5013,6.1942,0,0,90,0,"CMG3ES",6.86e+08,1,"M/S",40,"2018-05-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"77","NL","ARCN",NA,"BHN",51.5013,6.1942,0,0,0,0,"CMG3ES",6.8e+08,1,"M/S",40,"2018-05-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"78","NL","ARCN",NA,"BHZ",51.5013,6.1942,0,0,0,-90,"CMG3ES",6.89e+08,1,"M/S",40,"2018-05-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"79","NL","ASS1",NA,"HG1",52.977799,6.557414,9.5,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2020-04-14T00:00:00","2599-12-31T23:59:59","2599-12-31"
"80","NL","ASS1",NA,"HG2",52.977799,6.557414,9.5,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2020-04-14T00:00:00","2599-12-31T23:59:59","2599-12-31"
"81","NL","ASS1",NA,"HGZ",52.977799,6.557414,9.5,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2020-04-14T00:00:00","2599-12-31T23:59:59","2599-12-31"
"82","NL","ASS2",NA,"HG1",53.01428,6.570557,12,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2020-04-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"83","NL","ASS2",NA,"HG2",53.01428,6.570557,12,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2020-04-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"84","NL","ASS2",NA,"HGZ",53.01428,6.570557,12,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2020-04-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"85","NL","BAPP",NA,"HGE",53.31482,6.83539,0,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-10-07T00:00:00","2599-12-31T23:59:59","2599-12-31"
"86","NL","BAPP",NA,"HGN",53.31482,6.83539,0,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-10-07T00:00:00","2599-12-31T23:59:59","2599-12-31"
"87","NL","BAPP",NA,"HGZ",53.31482,6.83539,0,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2013-10-07T00:00:00","2599-12-31T23:59:59","2599-12-31"
"91","NL","BER1",NA,"HG1",52.661396,4.703678,1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2019-11-18T00:00:00","2599-12-31T23:59:59","2599-12-31"
"92","NL","BER1",NA,"HG2",52.661396,4.703678,1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2019-11-18T00:00:00","2599-12-31T23:59:59","2599-12-31"
"93","NL","BER1",NA,"HGZ",52.661396,4.703678,1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2019-11-18T00:00:00","2599-12-31T23:59:59","2599-12-31"
"94","NL","BER2",NA,"HG1",52.6478,4.714988,-1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2019-07-25T00:00:00","2599-12-31T23:59:59","2599-12-31"
"95","NL","BER2",NA,"HG2",52.6478,4.714988,-1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2019-07-25T00:00:00","2599-12-31T23:59:59","2599-12-31"
"96","NL","BER2",NA,"HGZ",52.6478,4.714988,-1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2019-07-25T00:00:00","2599-12-31T23:59:59","2599-12-31"
"97","NL","BFB2",NA,"HGE",53.18751,6.76549,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2014-09-17T00:00:00","2599-12-31T23:59:59","2599-12-31"
"98","NL","BFB2",NA,"HGN",53.18751,6.76549,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2014-09-17T00:00:00","2599-12-31T23:59:59","2599-12-31"
