Num,Place,Date,Time_UT,Magnitude,Depth,Easting,Northing,Field,Province
1,Groningen,05/12/1991,00:24:55,2.4,3.00,239542.07,597591.65,Groningen,Groningen
2,Groningen,06/12/1992,20:34:32,1.3,3.00,245147.22,593463.70,Groningen,Groningen
3,Groningen,11/12/1992,13:00:50,1.4,3.00,245844.83,581231.95,Groningen,Groningen
4,Groningen,12/02/1993,11:46:00,1.0,3.00,253735.57,590738.41,Groningen,Groningen
5,Groningen,12/03/1993,22:12:41,0.9,3.00,249828.85,575742.99,Groningen,Groningen
6,Groningen,26/03/1993,18:34:21,1.1,3.00,248888.15,589639.26,Groningen,Groningen
7,Groningen,14/05/1993,19:39:42,1.1,3.00,248711.32,591862.20,Groningen,Groningen
8,Groningen,27/06/1993,02:08:51,1.4,3.00,239158.07,592909.60,Groningen,Groningen
9,Groningen,27/06/1993,02:57:10,1.0,3.00,239826.43,592810.05,Groningen,Groningen
10,Groningen,10/07/1993,00:22:34,1.4,3.00,251581.35,595036.16,Groningen,Groningen
11,Groningen,27/07/1993,13:39:18,0.8,3.00,249643.03,595331.47,Groningen,Groningen
12,Groningen,23/08/1993,00:51:21,0.7,3.00,252316.33,594939.70,Groningen,Groningen
13,Groningen,04/09/1993,02:24:50,1.4,3.00,246721.40,598280.35,Groningen,Groningen
14,Groningen,22/09/1993,17:37:03,2.0,3.00,240720.49,598725.78,Groningen,Groningen
15,Groningen,25/09/1993,00:21:33,0.9,3.00,250191.36,581093.34,Groningen,Groningen
16,Groningen,23/11/1993,12:31:47,2.2,3.00,250739.07,580436.30,Groningen,Groningen
17,Groningen,22/12/1993,02:04:42,1.6,3.00,246068.34,590586.80,Groningen,Groningen
18,Groningen,04/02/1994,21:32:38,1.3,3.00,247642.69,591952.77,Groningen,Groningen
19,Groningen,28/02/1994,21:00:16,0.6,3.00,243711.51,599002.89,Groningen,Groningen
20,Groningen,02/03/1994,10:36:38,1.5,3.00,249701.55,588987.31,Groningen,Groningen
21,Groningen,06/03/1994,20:02:31,1.0,3.00,249471.71,593880.90,Groningen,Groningen
22,Groningen,14/03/1994,09:31:01,1.3,3.00,249623.26,596332.98,Groningen,Groningen
23,Groningen,14/03/1994,10:44:00,1.6,3.00,241009.29,601179.98,Groningen,Groningen
24,Groningen,14/03/1994,22:32:09,1.1,3.00,245928.86,576780.96,Groningen,Groningen
25,Groningen,24/03/1994,05:29:03,0.8,3.00,259949.01,593319.47,Groningen,Groningen
26,Groningen,04/04/1994,18:46:11,1.3,3.00,251111.05,588570.03,Groningen,Groningen
27,Groningen,07/05/1994,20:08:53,1.0,3.00,249286.61,579517.09,Groningen,Groningen
28,Groningen,10/05/1994,01:34:11,0.8,3.00,251687.59,583126.92,Groningen,Groningen
29,Groningen,05/06/1994,02:14:50,1.0,3.00,259202.54,590853.99,Groningen,Groningen
