X,Y,topo_gradients_smoothed
228000.00,566500.00,5.730361e-04
228000.00,567000.00,6.144796e-04
228000.00,567500.00,6.956357e-04
228000.00,568000.00,8.132663e-04
228000.00,568500.00,9.619698e-04
228000.00,569000.00,1.134785e-03
228000.00,569500.00,1.323110e-03
228000.00,570000.00,1.517248e-03
228000.00,570500.00,1.706917e-03
228000.00,571000.00,1.881822e-03
228000.00,571500.00,2.032770e-03
228000.00,572000.00,2.152559e-03
228000.00,572500.00,2.236747e-03
228000.00,573000.00,2.283786e-03
228000.00,573500.00,2.295536e-03
228000.00,574000.00,2.276563e-03
228000.00,574500.00,2.233899e-03
228000.00,575000.00,2.175939e-03
228000.00,575500.00,2.111426e-03
228000.00,576000.00,2.048381e-03
228000.00,576500.00,1.994824e-03
228000.00,577000.00,1.954943e-03
228000.00,577500.00,1.931350e-03
228000.00,578000.00,1.925555e-03
228000.00,578500.00,1.938379e-03
228000.00,579000.00,1.971229e-03
228000.00,579500.00,2.027225e-03
228000.00,580000.00,2.113392e-03
228000.00,580500.00,2.239068e-03
228000.00,581000.00,2.420796e-03
228000.00,581500.00,2.679921e-03
228000.00,582000.00,3.042249e-03
228000.00,582500.00,3.536877e-03
228000.00,583000.00,4.193061e-03
228000.00,583500.00,5.036506e-03
228000.00,584000.00,6.086856e-03
228000.00,584500.00,7.350282e-03
228000.00,585000.00,8.820239e-03
228000.00,585500.00,1.047219e-02
228000.00,586000.00,1.226435e-02
228000.00,586500.00,1.414135e-02
228000.00,587000.00,1.603754e-02
228000.00,587500.00,1.788448e-02
228000.00,588000.00,1.961896e-02
228000.00,588500.00,2.118973e-02
228000.00,589000.00,2.256576e-02
228000.00,589500.00,2.373880e-02
228000.00,590000.00,2.472375e-02
228000.00,590500.00,2.555801e-02
228000.00,591000.00,2.629197e-02
228000.00,591500.00,2.698680e-02
228000.00,592000.00,2.770135e-02
228000.00,592500.00,2.848523e-02
228000.00,593000.00,2.937238e-02
228000.00,593500.00,3.037533e-02
228000.00,594000.00,3.148411e-02
228000.00,594500.00,3.266620e-02
228000.00,595000.00,3.387197e-02
228000.00,595500.00,3.503927e-02
228000.00,596000.00,3.610223e-02
228000.00,596500.00,3.699679e-02
228000.00,597000.00,3.766966e-02
228000.00,597500.00,3.808330e-02
228000.00,598000.00,3.821794e-02
228000.00,598500.00,3.807442e-02
228000.00,599000.00,3.767144e-02
228000.00,599500.00,3.704280e-02
228000.00,600000.00,3.623167e-02
228000.00,600500.00,3.528924e-02
228000.00,601000.00,3.426510e-02
228000.00,601500.00,3.320601e-02
228000.00,602000.00,3.215256e-02
228000.00,602500.00,3.113736e-02
228000.00,603000.00,3.018398e-02
228000.00,603500.00,2.930599e-02
228000.00,604000.00,2.850883e-02
228000.00,604500.00,2.778621e-02
228000.00,605000.00,2.712429e-02
228000.00,605500.00,2.650182e-02
228000.00,606000.00,2.589171e-02
228000.00,606500.00,2.526387e-02
228000.00,607000.00,2.458820e-02
228000.00,607500.00,2.383673e-02
228000.00,608000.00,2.298906e-02
228000.00,608500.00,2.202935e-02
228000.00,609000.00,2.095286e-02
228000.00,609500.00,1.976333e-02
228000.00,610000.00,1.847227e-02
228000.00,610500.00,1.709944e-02
228000.00,611000.00,1.567118e-02
228000.00,611500.00,1.421780e-02
228000.00,612000.00,1.277538e-02
228000.00,612500.00,1.138249e-02
228000.00,613000.00,1.007962e-02
228000.00,613500.00,8.909708e-03
228000.00,614000.00,7.912927e-03
228000.00,614500.00,7.128705e-03
228000.00,615000.00,6.586283e-03
228000.00,615500.00,6.309248e-03
228500.00,566500.00,6.255437e-04
228500.00,567000.00,6.707729e-04
228500.00,567500.00,7.593563e-04
228500.00,568000.00,8.877833e-04
228500.00,568500.00,1.050212e-03
228500.00,569000.00,1.239097e-03
228500.00,569500.00,1.445120e-03
228500.00,570000.00,1.657772e-03
228500.00,570500.00,1.865902e-03
228500.00,571000.00,2.058328e-03
228500.00,571500.00,2.225053e-03
228500.00,572000.00,2.358210e-03
228500.00,572500.00,2.452900e-03
228500.00,573000.00,2.507347e-03
228500.00,573500.00,2.523458e-03
228500.00,574000.00,2.506073e-03
228500.00,574500.00,2.462712e-03
228500.00,575000.00,2.402407e-03
228500.00,575500.00,2.334593e-03
228500.00,576000.00,2.267966e-03
228500.00,576500.00,2.211101e-03
228500.00,577000.00,2.168656e-03
228500.00,577500.00,2.143494e-03
228500.00,578000.00,2.137214e-03
228500.00,578500.00,2.150556e-03
228500.00,579000.00,2.184762e-03
228500.00,579500.00,2.242720e-03
228500.00,580000.00,2.331232e-03
228500.00,580500.00,2.459527e-03
228500.00,581000.00,2.644058e-03
228500.00,581500.00,2.906192e-03
228500.00,582000.00,3.271847e-03
228500.00,582500.00,3.770272e-03
228500.00,583000.00,4.430889e-03
228500.00,583500.00,5.279542e-03
228500.00,584000.00,6.335979e-03
228500.00,584500.00,7.606402e-03
228500.00,585000.00,9.084210e-03
228500.00,585500.00,1.074477e-02
228500.00,586000.00,1.254612e-02
228500.00,586500.00,1.443273e-02
228500.00,587000.00,1.633877e-02
228500.00,587500.00,1.819566e-02
228500.00,588000.00,1.994007e-02
228500.00,588500.00,2.152076e-02
228500.00,589000.00,2.290667e-02
228500.00,589500.00,2.408957e-02
228500.00,590000.00,2.508433e-02
228500.00,590500.00,2.592824e-02
228500.00,591000.00,2.667142e-02
228500.00,591500.00,2.737455e-02
228500.00,592000.00,2.809588e-02
228500.00,592500.00,2.888426e-02
228500.00,593000.00,2.977285e-02
228500.00,593500.00,3.077344e-02
228500.00,594000.00,3.187558e-02
228500.00,594500.00,3.304660e-02
228500.00,595000.00,3.423711e-02
228500.00,595500.00,3.538565e-02
228500.00,596000.00,3.642740e-02
228500.00,596500.00,3.729966e-02
228500.00,597000.00,3.795066e-02
228500.00,597500.00,3.834442e-02
228500.00,598000.00,3.846260e-02
228500.00,598500.00,3.830726e-02
228500.00,599000.00,3.789810e-02
228500.00,599500.00,3.726957e-02
228500.00,600000.00,3.646520e-02
228500.00,600500.00,3.553620e-02
228500.00,601000.00,3.453193e-02
228500.00,601500.00,3.349866e-02
228500.00,602000.00,3.247616e-02
228500.00,602500.00,3.149600e-02
228500.00,603000.00,3.058044e-02
228500.00,603500.00,2.974156e-02
228500.00,604000.00,2.898311e-02
228500.00,604500.00,2.829720e-02
228500.00,605000.00,2.766841e-02
228500.00,605500.00,2.707414e-02
228500.00,606000.00,2.648626e-02
228500.00,606500.00,2.587402e-02
228500.00,607000.00,2.520705e-02
228500.00,607500.00,2.445746e-02
228500.00,608000.00,2.360524e-02
228500.00,608500.00,2.263511e-02
228500.00,609000.00,2.154299e-02
228500.00,609500.00,2.033328e-02
228500.00,610000.00,1.901811e-02
228500.00,610500.00,1.761789e-02
228500.00,611000.00,1.615957e-02
228500.00,611500.00,1.467411e-02
228500.00,612000.00,1.319847e-02
228500.00,612500.00,1.177217e-02
228500.00,613000.00,1.043693e-02
