#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
NL,HGN,,ACE,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,,,,0,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,BHE,50.764,5.9317,135,4,90,0,STS-1,801102000,1,M/S,40,03/11/1993 00:00,24/10/2003 00:00
NL,HGN,,BHN,50.764,5.9317,135,4,0,0,STS-1,808000000,1,M/S,40,03/11/1993 00:00,24/10/2003 00:00
NL,HGN,,BHZ,50.764,5.9317,135,4,0,-90,STS-1,814301000,1,M/S,40,03/11/1993 00:00,24/10/2003 00:00
NL,HGN,,LCE,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000000,0,S,1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,LCQ,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,PERCENT,1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,LOG,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,,,,0,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,OCF,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,,,,0,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VCO,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VEA,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VEC,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VEP,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VFP,50.764,5.9317,135,0,0,0,Synthetic State of Health (SOH),1,0.01,COUNTS,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VKI,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,CELSIUS,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VMU,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VMV,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,,VMW,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,0,BHE,50.764,5.9317,135,4,90,0,STS-2,612983000,1,M/S,40,04/02/2003 00:00,24/10/2003 23:59
NL,HGN,0,BHN,50.764,5.9317,135,4,0,0,STS-2,622733000,1,M/S,40,04/02/2003 00:00,24/10/2003 23:59
NL,HGN,0,BHZ,50.764,5.9317,135,4,0,-90,STS-2,611202000,1,M/S,40,04/02/2003 00:00,24/10/2003 23:59
NL,HGN,1,BHE,50.764,5.9317,135,4,90,0,STS-1,937454000,1,M/S,40,24/10/2003 00:00,27/04/2009 23:59
NL,HGN,1,BHN,50.764,5.9317,135,4,0,0,STS-1,960668000,1,M/S,40,24/10/2003 00:00,27/04/2009 23:59
NL,HGN,1,BHZ,50.764,5.9317,135,4,0,-90,STS-1,950215000,1,M/S,40,24/10/2003 00:00,27/04/2009 23:59
NL,HGN,2,AX0,50.764,5.9317,135,0,0,0,Quanterra 330HR Linear Phase Below 100 Composite,3.2875,0,A,1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,AX1,50.764,5.9317,135,0,0,0,Quanterra 330HR Linear Phase Below 100 Composite,3.2875,0,A,1,29/10/2014 00:00,31/12/2599 23:59
